Contig	ERR2185436	ERR2185437	ERR2185438	ERR2185439	ERR2185440	ERR2185441	ERR2185442	ERR2185443	ERR2185444	ERR2185445	ERR2185446	SRR23967288	SRR23967289	SRR23967290	SRR23967291	SRR23967292	SRR23967293	SRR23967294	SRR23967295	SRR23967296	SRR23967297	SRR23967298	SRR23967299	SRR23967300	SRR23967301	SRR23967302	SRR23967303	SRR23967304	SRR23967305
ERR2185444_RNODE_44_length_4642_cov_12.74080	0	0	0	0	0	0	0	76.7	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_45_length_1405_cov_9.62210	13.31	0	0	16.58	10.25	58.58	47.33	22.7	100	13.81	96.37	0	9.96	0	86.98	0	0	9.96	0	0	0	0	0	0	0	0	19.86	0	0
ERR2185444_RNODE_46_length_3122_cov_14.82540	0	0	0	0	0	0	0	54.18	100	0	0	0	0	0	0	0	0	8.93	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_47_length_2791_cov_23.00820	0	0	0	0	19.99	10.03	5.88	49.16	100	0	18.6	0	10.03	10.03	0	0	0	21.75	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_48_length_1094_cov_4.32557	0	0	0	0	0	0	0	0	100	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_49_length_1684_cov_7.88095	8.31	8.31	29.55	37.74	98.52	8.49	0	93.77	100	100	59.23	0	98.52	58.04	47.42	63.86	40.77	88.61	61.13	0	16.62	37.8	0	0	19.11	0	0	0	0
ERR2185444_RNODE_4_length_4128_cov_17.48570	31.92	96.54	83.29	65.56	100	87.24	39.31	94.19	100	56.82	61.52	0	29.28	56.26	66.41	75.49	24.46	65.15	32.72	0	6.37	10.12	0	19.86	6.78	0	0	28.51	0
ERR2185444_RNODE_50_length_2295_cov_19.36079	0	0	0	0	0	0	0	54.16	100	0	12.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_51_length_4522_cov_15.84868	0	0	6.85	0	23.61	17.93	19.43	28.1	100	9.46	6.17	5.79	11.43	11.72	14.46	8.58	10.9	10.13	8.29	0	10.5	10.39	11.61	7.36	9.55	0	0	10.41	8.05
ERR2185444_RNODE_52_length_2121_cov_7.94648	0	6.6	0	0	6.55	7.02	27.63	14.24	100	8.86	9.15	0	15.98	0	10.09	0	0	17.54	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_54_length_2025_cov_35.53560	0	23.36	22.67	6.86	21.58	0	0	23.6	100	13.93	10.57	0	15.6	16.3	28.4	12.69	10.96	15.9	14.96	13.53	15.6	15.11	0	15.41	6.91	0	6.91	6.91	0
ERR2185444_RNODE_55_length_3259_cov_9.85484	0	8.47	0	0	10.03	21.33	36.21	84.32	100	5.09	49.65	0	35.23	0	0	16.45	0	73.09	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_56_length_3049_cov_10.52069	0	9.08	17.94	0	48.18	5.94	0	14.59	100	38.05	91.83	13.71	70.38	9.15	0	0	0	37.29	11.28	0	0	0	0	0	56.97	0	0	0	0
ERR2185444_RNODE_57_length_1399_cov_4.45531	0	0	0	0	0	0	0	43.75	100	13.94	22.52	0	0	0	0	0	0	0	9.94	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_58_length_1053_cov_4.41376	0	0	0	0	0	13.96	0	27.64	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_59_length_2294_cov_4.54847	32.64	12.16	22.09	91.5	88.58	81.31	21.09	46.75	100	90.24	96.17	0	32.55	0	10.81	12.16	0	11.85	0	0	0	12.24	0	0	6.06	0	12.24	0	0
ERR2185444_RNODE_5_length_2621_cov_11.91340	0	0	0	0	0	0	0	23.54	100	6.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_60_length_7794_cov_12.61894	0	10.97	19.7	0	38.67	85.9	74.05	88.7	100	32.73	63.34	0	12.85	0	0	0	0	8.88	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_61_length_3920_cov_9.77575	7.12	0	14.18	0	0	0	0	63.45	100	56.57	100	0	0	14.21	9.87	7.14	0	14.28	17.8	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_63_length_2703_cov_11.79917	5.14	23.2	5.25	0	7.55	6.03	15.83	17.39	100	5.59	13.98	0	32.85	15.5	10.36	10.36	35.11	16.69	41.03	0	0	0	0	0	15.5	0	0	25.71	33.63
ERR2185444_RNODE_64_length_2079_cov_16.33492	0	0	0	6.64	37.9	22.08	11.98	14.53	100	40.26	81.67	0	0	20.06	0	0	0	13.42	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_65_length_2031_cov_59.31628	0	6.84	0	0	19.55	34.91	73.56	79.37	100	10.54	99.46	0	0	0	20.63	20.68	0	6.84	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_66_length_4071_cov_5.18471	0	0	0	0	0	0	13.71	40.48	100	9.31	19.33	0	11	0	0	0	0	10.76	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_67_length_2317_cov_200.22068	0	0	10.79	48.34	44.54	7.25	62.24	100	100	85.76	100	0	72.25	43.68	0	6	0	35.61	18.13	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_68_length_2881_cov_33.27399	0	0	8.68	26.45	23.81	10.66	56.47	71.57	100	31.17	88.72	0	21.59	0	0	0	0	19.89	14.58	0	0	9.72	0	0	0	0	0	0	0
ERR2185444_RNODE_69_length_2876_cov_10.53149	5.07	9.7	9.66	0	0	37.4	36.53	39.38	100	10.05	66.81	0	63.33	0	18.7	19.36	0	73.48	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_6_length_1408_cov_11.00780	0	0	0	0	53.87	0	0	0	100	51.03	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_70_length_4944_cov_47.05606	12.42	20.97	13.43	8.59	37.67	14.46	17.74	99.96	100	63.17	47.28	11.32	29.67	5.66	0	5.66	11.24	5.54	11.32	0	0	0	0	0	0	0	13.31	0	15.09
